,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-338-5p,-1.83012022565019,7.94795916385269,-3.44150567300952,0.0011126872929085,0.0034663424002804,-1.432654572493,-3.2603654918552,2.460128540523479,P.adj < 0.05 & log2FC < -1
hsa-miR-140-3p,-1.10210828987352,10.7355935650731,-3.41934083302357,0.0011141814858044,0.0034663424002804,-1.34460850834553,-3.25998489197976,2.460128540523479,P.adj < 0.05 & log2FC < -1
hsa-miR-324-5p,1.34169242629203,9.27810262231699,3.44722134176095,0.0011459227083392,0.0035259160256592,-1.32783876407914,3.2520093037275,2.452728035209446,P.adj < 0.05 & log2FC > 1
hsa-miR-574-5p,-2.50379278787479,8.40885781654353,-3.402414421864,0.0011773422846302,0.0035760359155033,-1.45572963934551,-3.24431316033191,2.446598128067795,P.adj < 0.05 & log2FC < -1
hsa-miR-1296-5p,1.64105725130756,8.13847531135715,3.40277993840797,0.0011877547862207,0.0035760359155033,-1.46565387681948,3.24180448214122,2.446598128067795,P.adj < 0.05 & log2FC > 1
hsa-miR-93-5p,-1.18574840251282,10.193667276019,-3.2867035116749,0.0016252528265294,0.0048411786322153,-1.67625018504317,-3.15133622126393,2.315048892249814,P.adj < 0.05 & log2FC < -1
hsa-miR-33b-5p,-2.04142858058056,8.23300545332338,-3.27980862402581,0.0017381973900563,0.0051231080970082,-1.78707736367814,-3.13166220476312,2.2904664804619586,P.adj < 0.05 & log2FC < -1
hsa-miR-377-3p,1.46087679642323,8.70429996197913,3.21530369840239,0.0020643933877984,0.0060211473810789,-1.94324378602009,3.08080855090309,2.2203207423318085,P.adj < 0.05 & log2FC > 1
hsa-miR-4485-5p,-1.61520708372584,7.42000543629571,-3.20871935670734,0.002150913939146,0.0062088237418648,-2.01056608811209,-3.06856241280373,2.2069906688739445,P.adj < 0.05 & log2FC < -1
hsa-miR-421,-1.62645259557668,7.79452351162854,-3.20166352924374,0.0022146767241328,0.0063276477832366,-2.02244090723374,-3.05982321940283,2.1987577030334484,P.adj < 0.05 & log2FC < -1
hsa-miR-485-3p,1.43540021511526,7.49116787449148,3.19100087866805,0.0023366012311256,0.0066085691385371,-2.04740366181737,3.04373595680281,2.1798925620735194,P.adj < 0.05 & log2FC > 1
hsa-let-7b-5p,-0.885275084844038,14.4792423494558,-3.15427349145444,0.002485380274806,0.006959064769457,-2.11483342696113,-3.02511570409629,2.1574491214174913,P.adj < 0.05
hsa-miR-628-5p,1.30924265689161,7.22597441137818,3.1265437944458,0.0026288726365588,0.0072321210682129,-2.19959061363023,3.00809925450303,2.1407343122317117,P.adj < 0.05 & log2FC > 1
hsa-miR-151b,-1.1931846001524,9.37662705074563,-3.16586226547046,0.0026345583891347,0.0072321210682129,-2.11127810210515,-3.00744263957466,2.1407343122317117,P.adj < 0.05 & log2FC < -1
hsa-miR-1185-5p,1.42912877579517,7.42157922965829,3.12577319745894,0.0026847513420745,0.007298353162921,-2.24404453675074,3.00170167858277,2.136775125214062,P.adj < 0.05 & log2FC > 1
hsa-miR-5100,-1.68769472510127,7.56699638828659,-3.12834787157107,0.0027392289626005,0.0073748472070013,-2.16478125589288,-2.99558060240704,2.1322469730235083,P.adj < 0.05 & log2FC < -1
hsa-miR-1285-3p,-2.54387718316883,8.28880110253469,-3.10244754963437,0.0029757309603488,0.0079352825609301,-2.31570706160811,-2.9702338871531,2.1004376041998833,P.adj < 0.05 & log2FC < -1
hsa-miR-203a-3p,1.64986184856216,8.04843739801281,3.05984219309655,0.0031980945039617,0.0084477968029178,-2.37557465303845,2.94802669156501,2.073256540884227,P.adj < 0.05 & log2FC > 1
hsa-miR-145-5p,-1.99339584660605,7.45023387147797,-3.01523880618554,0.0036407313042096,0.0095271473381187,-2.47342331038966,-2.90772088195258,2.021037118330521,P.adj < 0.05 & log2FC < -1
hsa-miR-362-3p,-1.7418918599787,7.55617390611155,-3.01228883106547,0.0038100746755254,0.0098535619610853,-2.47886215459071,-2.89347265312218,2.0064067481410723,P.adj < 0.05 & log2FC < -1
hsa-miR-655-3p,1.37194839149318,7.05430800828956,2.99716133470796,0.0038358509062796,0.0098535619610853,-2.57383675398742,2.8913545610603,2.0064067481410723,P.adj < 0.05 & log2FC > 1
hsa-miR-548aa,-2.51770424332145,8.9427739233952,-2.97711511942878,0.0041469226628578,0.0105558031418199,-2.63330994644271,-2.8667638920329,1.9765087176579879,P.adj < 0.05 & log2FC < -1
hsa-miR-210-3p,-1.58337991619644,7.59369285628194,-2.96316873603703,0.0044192682886572,0.0109760020608987,-2.6146481761826,-2.84657237052437,1.959555820092421,P.adj < 0.05 & log2FC < -1
hsa-miR-29b-3p,0.891430724548613,14.6289424095681,2.98529777924263,0.004427509096618,0.0109760020608987,-2.50706585106119,2.84597916998395,1.959555820092421,P.adj < 0.05
hsa-miR-31-5p,1.60896397641976,8.16470279035694,2.95417158092642,0.0044296008317198,0.0109760020608987,-2.63692278046338,2.84582875922453,1.959555820092421,P.adj < 0.05 & log2FC > 1
hsa-miR-548t-3p,-2.4879544090686,8.92593943788299,-2.94866456924925,0.0044949725104532,0.0110402833590079,-2.70527102801784,-2.84116020613204,1.9570197798971936,P.adj < 0.05 & log2FC < -1
