"","HU10_IBA1","HU11_IBA1","HU12_IBA1","HU13_IBA1","HU14_IBA1","HU15_IBA1","HU16_IBA1","HU17_IBA1","HU19_IBA1","HU20_IBA1","HU22_IBA1","HU23_IBA1","HU25_IBA1","HU26_IBA1","HU27_IBA1","HU8_IBA1","HU10_NEUN","HU11_NEUN","HU12_NEUN","HU13_NEUN","HU14_NEUN","HU15_NEUN","HU16_NEUN","HU17_NEUN","HU19_NEUN","HU20_NEUN","HU22_NEUN","HU23_NEUN","HU25_NEUN","HU26_NEUN","HU27_NEUN","HU8_NEUN","HU29_IBA1","HU31_IBA1","HU34_GFAP","HU39_IBA1","HU39_NEUN","HU43_GFAP","HU44_GFAP","HU44_IBA1","HU46_IBA1","HU47_GFAP","HU47_NEUN","HU50_GFAP","HU51_GFAP","HU52_GFAP","HU54_GFAP","HU54_IBA1","HU54_NEUN","HU56_GFAP","HU57_OLIG2","HU58_GFAP","HU60_GFAP","HU61_OLIG2","HU62_GFAP","HU64_GFAP","HU64_NEUN","HU64_OLIG2","HU66_OLIG2","HU67_GFAP","HU67_NEUN","HU67_OLIG2","HU68_OLIG2","HU69_GFAP","HU70_GFAP","HU71_GFAP","HU71_IBA1","HU71_NEUN","HU71_OLIG2","HU73_NEUN","HU73_OLIG2","HU74_OLIG2","HU75_GFAP","HU75_IBA1","HU75_NEUN","HU75_OLIG2","HU76_OLIG2","HU77_OLIG2","HU78_OLIG2","HU79_OLIG2"
"hsa-miR-330-3p",1589.37421699752,382.675532448038,639.582534252191,218.431959519255,851.606495046384,438.60454569071,1338.3370076488,1328.46578585453,320.273262010512,714.040381745582,645.754929992885,1608.47137296107,765.604573375486,4811.51500558782,796.99674976509,0,3509.64719065233,2293.5346509116,2166.61988125911,3643.1686007379,2870.79255984461,2801.34405994758,1703.51311223792,1432.88758451136,2035.86677565266,2992.30783721084,3366.33000809732,2106.16992431546,5734.2697594736,2001.87419259123,730.630458203729,149.735114406125,1736.22386020049,182.742879367702,1304.85965163482,650.885408443838,2623.20218540024,2932.6551760469,2200.19954027477,773.373705261096,1013.27393542062,1760.19429300155,1392.50118759774,4282.02063602373,4771.73412742457,1696.59159351278,2848.02778750829,80.4741568986244,2394.37777759375,2852.62207557178,3809.39425470719,909.153388079839,2040.63777949836,458.579582223825,1105.5609061245,1816.0996108416,2870.52829693908,2690.66382509627,6564.22718589457,1278.00583623195,6446.13223525778,3283.22488822513,2864.37738923626,1892.31595372669,2382.62806518448,2240.98472304533,155.310606164225,4380.99759554083,8079.62656514573,1799.91572143595,3913.0532709357,5487.98842395016,2868.22244489534,282.924365627834,3898.93850379302,4422.69988659876,2793.72103353027,8002.38291412923,4330.77642112472,3814.08054278213
"hsa-miR-98-5p",974.132584611385,994.956384364898,2238.53886988267,1383.40241028862,1040.85238283447,598.09710776006,1179.32667010636,1388.30658701915,640.546524021024,793.378201939536,883.664641042895,689.344874126171,1403.60838452172,1142.30212362876,1608.7526985999,1495.63345516375,2045.19008951682,3642.67268085959,2865.52952037495,2428.7790671586,3805.46920723588,1925.92404121396,4153.77169833356,2777.77104965903,1480.63038229285,1923.6264667784,2898.78417363936,2790.67514971799,1586.07461432249,3530.02243121049,2374.54898916212,1197.880915249,0,1827.42879367702,2935.93421617836,790.360853110375,2771.28617973735,2443.87931337242,1650.14965520608,1288.95617543516,1013.27393542062,2346.92572400206,2188.2161519393,629.708917062313,681.676303917796,3042.16423664361,3624.76263864692,2253.27639316148,2107.44820920442,1399.39950877106,1846.97903258531,2727.46016423952,1200.3751644108,1031.80406000361,1658.34135918675,3632.19922168319,2520.46387048309,1982.59439743936,1984.53380038673,2236.51021340592,5525.25620164953,2553.61935750843,1628.17241072377,1727.76674035915,1701.87718941749,1568.68930613173,1915.49747602544,2527.49861281202,0,2957.00439950192,1043.48087224952,2905.40563620891,2663.3494131171,1131.69746251134,4711.2173587499,1268.52632406321,1141.09732355462,2717.79042366653,2165.38821056236,2053.73567688268
"hsa-miR-181b-5p",1461.19887691708,765.351064896075,746.179623294222,291.24261269234,1324.7212145166,1036.70165345077,1417.84217642001,1148.94338236067,1387.85080204555,1507.41858368512,1563.40667261435,1378.68974825234,1531.20914675097,8307.65180820919,678.923157207299,997.08897010917,1641.20192368634,3777.58648385439,1397.81927823168,657.794330688788,1602.30282409932,525.25201124017,536.723309335235,742.393724888562,2159.25264084373,1840.50680463365,2992.29334053095,2948.63789404165,8174.38455073897,3331.36316018999,1643.91853095839,2096.29160168575,289.370643366749,730.97151747081,1957.28947745224,650.885408443838,581.758549181505,4398.98276407035,1650.14965520608,2320.12111578329,4053.09574168247,1760.19429300155,1392.50118759774,5163.61311991097,1363.35260783559,1287.06948473384,2416.50842576461,643.793255188995,920.15344345545,2583.5067854235,4617.44758146326,1818.30677615968,2280.71281238052,917.159164447651,1658.34135918675,2270.12451355199,1400.25770582394,3162.71011020088,8663.253320919,958.504377173965,0,4126.83128311631,4130.73370868809,3126.43505398323,3744.12981671847,3137.37861226346,258.851010273709,842.499537604005,6059.71992385929,1028.52326939197,4000.01001028982,2905.40563620891,4507.20669912124,848.773096883502,974.734625948255,5931.21767737663,5272.65659849376,19779.4747500175,7458.55939193701,6894.68405810616
"hsa-miR-22-3p",1179.2131287401,6046.273412679,2451.73304796673,4514.26049673127,2270.95065345703,3987.31405173373,3710.24120932339,2142.30068169334,4056.79465213315,2261.12787552768,3330.73595470014,3446.72437063086,2552.01524458495,3219.21507568106,841.274346974261,5359.35321433679,3130.90828518625,3237.9312718752,1258.03735040851,5009.35682601461,2870.79255984461,3501.68007493447,1400.14776348322,2078.25112651175,1295.55158450624,3419.78038538382,5891.07751417031,5212.77056268077,3294.15496820824,1696.24454486738,0,4042.84808896537,868.111930100246,3289.37182861864,2283.50439036094,1906.16441044267,3152.07359374706,1629.25287558161,4400.39908054955,3866.86852630548,1013.27393542062,880.097146500774,2188.2161519393,1007.5342672997,1590.57804247486,1608.8368559173,1208.25421288231,2776.35841300254,2097.55408615651,1130.28421862278,2193.28760119505,909.153388079839,1920.60026305728,2407.54280667508,1105.5609061245,3178.17431897279,980.180394076759,1416.13885531383,686.954007826176,2875.51313152189,2992.84710922683,1550.41175277298,2170.89654763169,493.647640102615,2893.19122200972,3137.37861226346,776.553030821126,2358.99870529121,4039.81328257286,3899.81739644457,1565.22130837428,0,1434.11122244767,2829.24365627834,1299.64616793101,1542.80228602282,1180.44550712547,754.941784351815,1347.35266434991,733.477027458102
"hsa-miR-335-5p",5742.25523560396,3444.07979203234,8421.17003432051,1310.59175711553,4731.14719470214,4425.91859742444,1232.33011595384,1735.38323377393,2882.45935809461,4442.9179308614,4554.27161152877,2297.81624708724,1276.00762229248,1073.07169189369,3837.39175812821,5608.62545686408,5479.08949907594,3845.04338535179,2795.63855646336,5009.35682601461,3204.60564819863,2276.0920487074,5343.8972972943,3048.55295539346,2467.71730382141,1923.6264667784,1776.67417094025,1211.04770648139,488.022958253073,1467.02230907449,3470.49467646771,6887.81526268174,5498.04222396823,913.714396838512,652.429825817412,1766.68896577613,2464.54076289619,488.775862674484,1100.09977013739,0,2026.54787084124,1466.82857750129,2188.2161519393,0,1363.35260783559,731.289479962407,1208.25421288231,1730.19437332042,1523.69494937784,1130.28421862278,1154.36189536582,909.153388079839,480.15006576432,2522.18770223104,0,454.024902710399,910.167508785562,2171.4129114812,534.297561642581,319.501459057988,2762.62810082476,1345.21019725891,934.691569119202,1398.66831362408,1701.87718941749,1120.49236152266,3675.68434588666,2864.49842785362,2019.90664128643,1114.2335418413,347.826957416506,2582.58278774125,3482.84154023005,848.773096883502,3736.48273280164,3394.16502925021,1455.88279212141,452.965070611089,577.436856149962,440.086216474861
"hsa-miR-99a-5p",384.526020241336,2142.98298170901,3197.91267126095,1310.59175711553,2270.95065345703,2113.27644741888,1841.86974319983,921.548337935123,1387.85080204555,3133.84389766117,2515.04551681439,1608.47137296107,2254.28013271671,1626.9151457743,1077.42153208984,9098.43685224617,6186.06878927928,3575.21577936219,4403.1307264298,5717.75072060254,5674.82250201841,2101.00804496068,2240.23642157316,2391.90683398747,2035.86677565266,4524.08446816401,3833.87584255528,3949.0686080915,2196.10331213883,1039.1408022611,2557.20660371305,16920.0679278921,1157.482573467,182.742879367702,4893.22369363059,3114.95159755265,3680.94500209388,2769.72988848874,1650.14965520608,1031.16494034813,2026.54787084124,2640.29143950232,1989.28741085391,1385.35961753709,2272.25434639265,4329.23372137745,776.734851138625,1609.48313797249,2720.88383817472,3390.85265586834,4155.70282331694,2727.46016423952,2640.82536170376,802.514268891694,2763.90226531126,6810.37354065598,2870.52829693908,2077.00365446028,915.938677101568,6709.53064021775,2992.84710922683,3465.6262709043,2773.92336641828,3455.5334807183,3744.12981671847,2240.98472304533,776.553030821126,1684.99907520801,0,2314.17735613194,1478.26456902015,1614.11424233828,2458.47638133886,2546.31929065051,2436.83656487064,1165.67283832835,2085.45372925499,2264.82535305544,1900.72965149363,1760.34486589944
"hsa-miR-138-5p",410.161088257425,76.5351064896075,213.194178084064,218.431959519255,1230.09827062256,239.238843104024,662.543073093463,299.204005823092,0,158.675640387907,1291.50985998577,1838.25299766979,0,467.305414211767,368.979976743097,0,5226.59689543188,4384.69859733099,4892.36747381089,5565.95202890513,3538.41873655266,4552.18409741481,3220.33985601141,3380.26078991814,5182.20633802496,7540.14078027335,3646.8575087721,6265.85552483851,244.011479126536,1680.96306248119,730.630458203729,299.47022881225,1157.482573467,548.228638103107,3588.36404199577,650.885408443838,6240.68261849251,1629.25287558161,0,257.791235087032,1013.27393542062,1173.46286200103,6166.79097364713,503.767133649851,0,731.289479962407,1726.07744697472,241.422470695873,5699.01487559505,861.168928474499,2308.72379073163,909.153388079839,1560.48771373404,0,1658.34135918675,454.024902710399,6091.12102033414,2218.61753999166,496.133450096683,159.750729528994,5295.03719324746,1322.41002442401,1175.90229663383,1316.39370694031,1446.59561100486,1120.49236152266,0,6402.99648579044,0,6256.84988880117,608.697175478886,0,2663.3494131171,282.924365627834,4711.2173587499,719.974400143984,1180.44550712547,1056.91849809254,529.317118137466,880.172432949722
"hsa-miR-151a-5p",2178.98078136757,1607.23723628176,2131.94178084064,1674.64502298096,1987.0818217749,877.209091381421,2888.6877986875,1998.68275889825,1601.36631005256,3054.50607746721,2243.14870418581,1148.90812354362,2849.7503564532,6369.19971962705,2228.63905952831,2492.72242527292,1742.19896514396,2563.3622569012,2725.74759255178,3086.57339784739,2937.55517751541,2101.00804496068,1283.46878319295,1362.93559219663,1233.8586519107,2754.82308822585,3085.80250742254,2264.13266863912,8418.3960298655,4232.97062097535,730.630458203729,3593.642745747,1446.85321683374,365.485758735405,1631.07456454353,1255.27900199883,1893.35964188162,4887.75862674484,1100.09977013739,0,0,2933.65715500258,1989.28741085391,4659.84598626112,3181.15608494971,2778.90002385715,3883.67425569312,844.978647435556,1306.02424232386,2906.44513360143,4271.13901285352,2727.46016423952,3000.937911027,1146.44895555956,0,4086.22412439359,770.141738203168,2643.45919658581,6335.24251661918,1917.00875434793,1611.53305881444,6087.64614691742,4492.54979996003,3126.43505398323,3063.37894095147,3361.47708456799,1553.10606164225,1179.49935264561,8079.62656514573,1199.94381429064,3478.26957416506,4519.51987854719,2458.47638133886,1414.62182813917,2599.29233586201,6754.04556325547,3226.55105280961,12381.0452633698,5581.88960944964,5427.73000318995
"hsa-miR-222-3p",1102.30792469183,1913.37766224019,6395.8253425219,3349.29004596191,8610.68789435789,3110.10496035231,4412.53686680246,2453.47284774935,5124.37219216819,3570.20190872791,2820.92943102155,4136.06924475703,1999.07860825821,484.613022145536,1210.25432371736,2243.45018274563,6463.81065328774,6206.03493776079,8386.91566939009,6122.54723179564,8078.27673816739,7528.61216110911,4713.83080372685,2464.11534218331,6477.7579225312,6423.96246004391,2992.29334053095,4528.26533727825,0,1023.8593198749,2374.54898916212,1647.08625846737,2604.33579030074,730.97151747081,978.644738726119,3114.95159755265,4093.46470060441,1140.47701290713,1100.09977013739,1031.16494034813,3039.82180626185,1466.82857750129,3580.71733953704,125.941783412463,1590.57804247486,351.018950381955,345.215489394944,3379.91458974222,3581.67254334272,1184.10727665244,1616.10665351214,1818.30677615968,1560.48771373404,1719.67343333934,0,454.024902710399,6161.13390562534,1038.50182723014,305.312892367189,958.504377173965,1381.31405041238,1003.20760473546,1236.20497851249,905.020673521461,936.032454179617,0,465.931818492676,4717.99741058243,0,4414.07903114055,434.783696770633,322.822848467657,409.746063556477,1131.69746251134,4223.85004577577,617.120914409129,1416.53460855056,352.306166030847,793.975677206198,440.086216474861
"hsa-miR-19a-3p",4921.9330590891,3061.4042595843,5329.85445210159,6552.95878557765,5582.75368974852,6260.08306122196,7301.22466548996,10424.2675628765,4163.55240613666,5275.96504289791,3568.64566575015,2068.03462237851,2084.14578307771,2682.67922973422,12619.1152046139,8849.16460971888,277.741864008458,1011.853522461,349.45481955792,1062.59084188189,400.575706024829,1750.84003746723,560.059105393289,579.924581447904,185.078797786606,676.831534607214,1496.14667026548,737.159473510413,3660.17218689804,4217.68913858916,4201.12513467144,3294.17251693475,4340.55965050123,3289.37182861864,1304.85965163482,4370.23059955148,518.293980179886,1140.47701290713,550.049885068693,7991.52828769799,1013.27393542062,2346.92572400206,795.714964341565,5037.67133649851,2045.02891175339,3129.9189742391,1208.25421288231,4305.3673940764,474.917906299587,3659.96794601662,1962.41522212189,2727.46016423952,2400.7503288216,1375.73874667148,2763.90226531126,1816.0996108416,140.025770582394,1652.16199786613,2480.66725048341,2236.51021340592,1151.09504201032,1664.41261694746,2291.50191138901,2961.88584061569,3148.47280042235,2016.8862507408,1346.02525342328,336.999815041602,0,428.551362246656,2521.74544126967,2582.58278774125,4507.20669912124,6224.33604381235,1462.10193892238,4971.25181051798,3738.07743923065,2617.13151908629,3296.20205385604,3373.99432630727
"hsa-miR-331-3p",615.241632386138,1224.56170383372,639.582534252191,1893.07698250021,2270.95065345703,2751.24669569627,2080.38524951347,2058.52356006287,1174.33529403854,1507.41858368512,2073.21319629295,2297.81624708724,850.671748194984,1921.14448064838,752.719152555918,1121.72509137282,3913.63535648281,7150.43155872439,3284.87530384445,3592.56903683876,3738.70658956507,4727.26810116153,3453.69781659195,3811.2553232121,5182.20633802496,5853.99906247994,4581.94917768802,4633.57383349402,854.040176942877,1818.49640395692,1826.57614550932,1946.55648727962,1446.85321683374,1827.42879367702,1631.07456454353,1906.16441044267,4474.25211461412,2606.80460093058,0,3093.49482104438,1013.27393542062,2053.5600085018,1591.42992868313,1385.35961753709,1363.35260783559,2340.1263358797,1467.16582992851,1126.63819658074,3274.95472885757,2099.09926315659,3693.95806517061,2727.46016423952,2400.7503288216,1146.44895555956,1658.34135918675,1816.0996108416,5320.97928213098,2407.4360540335,2099.02613502443,3514.51604963787,2302.19008402064,1960.81486380112,2321.65325232834,3044.16044729946,2637.9096435971,2016.8862507408,1087.17424314958,3369.99815041602,0,3685.54171532124,2086.96174449904,0,1638.98425422591,1980.47055939484,5848.40775568953,1885.64723847234,1967.40917854245,4127.01508778992,962.394760249937,2347.12648786593
"hsa-miR-574-3p",4716.85251496039,2449.12340766744,7888.18458911035,4150.20723086585,9083.8026138281,13676.4871974467,3034.44727476806,8341.8076823478,2668.9438500876,3609.87081882489,4350.34900205733,4595.63249417448,5401.76560103815,4188.44111997214,5815.12443347121,1994.17794021834,176.744822550837,0,0,202.39825559655,333.813088354024,700.336014986894,303.365348754698,548.333359112221,0,296.855936231234,93.5091668915922,631.850977294639,4880.22958253073,2215.81494599793,2922.52183281492,2395.761830498,5498.04222396823,2741.14319051554,3262.14912908706,5532.52597177262,190.393707004856,4073.13218895403,3300.29931041216,4124.65976139251,4053.09574168247,2640.29143950232,198.928741085391,5667.38025356082,7725.66477773502,1842.84948950527,3452.15489394944,5753.90221825164,197.882460958161,2422.03761133453,4617.44758146326,0,5401.6882398486,7681.20800224907,1658.34135918675,2724.14941626239,70.0128852911971,2171.4129114812,10380.6383404844,1597.50729528994,1151.09504201032,3807.62886342775,3799.06895835547,3126.43505398323,3318.6605193641,3137.37861226346,6988.97727739013,168.499907520801,0,642.827043369983,5913.05827608061,7747.74836322376,5326.6988262342,3960.94111878967,487.367312974127,7508.3044586444,5272.65659849376,14092.2466412339,5461.59026441839,6161.20703064806
"hsa-miR-99b-5p",845.95724453094,229.605319468823,1812.15051371454,1820.26632932713,2838.68831682128,2711.37355517894,1497.34734519123,2154.26884192626,320.273262010512,1943.77659475186,679.742031571457,2757.37949650468,1446.14197193147,4569.20849451506,1682.54869394852,1495.63345516375,3130.90828518625,3372.84507487,4682.69458207613,2681.77688665429,3671.94397189427,2801.34405994758,3990.42112592718,3305.79576584117,3886.65475351872,2873.56546271835,3740.36667566369,2211.47842053124,3904.18366602458,3331.36316018999,2557.20660371305,3593.642745747,1446.85321683374,1827.42879367702,1631.07456454353,2557.04981888651,2221.25991505665,3095.58046360506,2750.24942534347,4382.45099647954,1013.27393542062,4107.12001700361,5172.14726822017,4282.02063602373,4317.28325814604,3597.94424141504,2071.29293636967,1126.63819658074,3176.01349837849,5382.30580296562,4617.44758146326,0,5761.80078917184,1490.38364222743,3316.68271837351,4086.22412439359,3640.67003514225,3398.73325275318,4885.00627787503,5271.77407445681,4143.94215123714,3055.22315987616,3346.79884426553,1892.31595372669,5360.91314666508,3361.47708456799,465.931818492676,2695.99852033282,0,2357.03249235661,3043.48587739443,2905.40563620891,2458.47638133886,1414.62182813917,3086.65964883614,4422.69988659876,2596.98011567603,7549.41784351814,3921.75864801849,3373.99432630727
