"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"hsa-miR-93-5p",0.479697685360868,10.2389393058011,1.85979082783066,0.066626843113268,0.268003865226336,-5.11018540348521,1.83418293892728
"hsa-miR-9-3p",0.779049188498156,11.6523226081981,1.85670515259476,0.0670866379785003,0.268003865226336,-5.07792970781435,1.83109316879104
"hsa-miR-125a-5p",0.449564531595382,12.77329570646,1.85631898733877,0.067154820006507,0.268003865226336,-5.05323236832003,1.83063647855315
"hsa-miR-421",0.751785756669175,7.9212248517236,1.85359595382643,0.067591574291016,0.268003865226336,-5.07572609514405,1.82772007096258
"hsa-miR-4800-5p",-1.13461170389578,10.0706834490304,-1.848513341854,0.0684265187811921,0.268003865226336,-5.03551409772521,-1.82218764375213
"hsa-miR-340-3p",0.705936296626149,7.37622118458223,1.83164188035383,0.0709145642196386,0.27394393301285,-5.09696089521697,1.80602417027605
"hsa-miR-126-3p",-0.725349133920702,9.48670060639461,-1.8237467461344,0.0720612134477381,0.274611651246786,-5.08794390833525,-1.79873118481602
"hsa-miR-664a-3p",-0.499761284652459,10.5078974771016,-1.77241422485634,0.0802470299541891,0.301080692132926,-5.17437996478012,-1.7492545416341
"hsa-miR-320b",0.726336488375811,9.27211473172645,1.76641646879795,0.0811858630426111,0.301080692132926,-5.23083574776623,1.74384648058324
"hsa-miR-29b-2-5p",-0.680820899506799,8.08743055640224,-1.76033742773452,0.0822099762206926,0.301080692132926,-5.24781586277048,-1.73800475334611
"hsa-miR-7851-3p",-1.07306829528569,6.72626560176776,-1.74475163208245,0.0852846896104748,0.304766041782356,-5.21039746791464,-1.72081340237366
"hsa-let-7a-5p",0.358452888341283,15.7868610875638,1.73777026653688,0.0861368597705918,0.304766041782356,-5.33568741741374,1.71613760575106
"hsa-miR-1268b",-1.17497813056674,7.34700868324685,-1.73691052162263,0.0864584515694628,0.304766041782356,-5.24858222906944,-1.71438276587693
"hsa-miR-1273h-5p",-1.30661074892204,10.606585385045,-1.70755890035958,0.0917988819807758,0.319596107636775,-5.27832383009991,-1.68598399571977
"hsa-miR-454-3p",0.621777120235041,8.6673608820181,1.69499198319261,0.0940234438818324,0.32334891676435,-5.37093526811343,1.67454548031126
"hsa-miR-660-5p",-0.623494411427198,7.42895322484314,-1.64624678528631,0.103857968631899,0.350460041865101,-5.35538947808377,-1.62643115063585
