,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-361-5p,1.05891870922293,9.72926624751712,2.92810923496975,0.0047342820319829,0.0179285559038441,-2.67271287139292,2.82457869899984,1.7464546902620948,P.adj < 0.05 & log2FC > 1
hsa-miR-378a-3p,1.66983663718993,7.70533606208762,2.93527675914733,0.0047382612031587,0.0179285559038441,-2.67970814316869,2.82430945795438,1.7464546902620948,P.adj < 0.05 & log2FC > 1
hsa-miR-136-3p,-1.47238556093605,7.95128957948001,-2.90001171658335,0.0050613778901192,0.0188958107897785,-2.73111654717628,-2.80310123761274,1.7236344684480949,P.adj < 0.05 & log2FC < -1
hsa-miR-423-5p,1.02570565416245,10.9996430615959,2.8781364737607,0.00538322297326,0.0198329267435898,-2.79485246301593,2.78316013183815,1.7026131922596175,P.adj < 0.05 & log2FC > 1
hsa-miR-193b-5p,-1.37735474163631,7.13599224504456,-2.87397909693906,0.0055191785286132,0.0200697401040481,-2.85977422942045,-2.7750584638565,1.6974582514342185,P.adj < 0.05 & log2FC < -1
hsa-miR-4284,1.36865227101856,9.1902572678351,2.86937569590175,0.0057578994907841,0.0206693827874302,-2.83228247806995,2.76125899729186,1.6846724917333968,P.adj < 0.05 & log2FC > 1
hsa-miR-30e-5p,1.2903942688062,9.4559633450602,2.81873359859473,0.0065113452607249,0.023078185734215,-2.91906205731889,2.72085430508318,1.63679833574981,P.adj < 0.05 & log2FC > 1
hsa-miR-151b,-1.09845738263432,9.37662705074563,-2.82598192165443,0.0067367563235652,0.0235786471324782,-2.91195987397633,-2.70958439786718,1.6274811169574186,P.adj < 0.05 & log2FC < -1
hsa-miR-17-5p,1.10048867948331,9.98028155131924,2.76932434880292,0.0072834715670278,0.0251774325773803,-3.08226656928323,2.68359758552409,1.5989885583554577,P.adj < 0.05 & log2FC > 1
hsa-miR-15b-5p,1.56358285985699,8.58008123844367,2.76366102561345,0.007545393337854,0.0257647577390137,-3.08586461003886,2.67176293480586,1.5889739367699227,P.adj < 0.05 & log2FC > 1
hsa-miR-33b-5p,-1.74194580673746,8.23300545332338,-2.75653508642305,0.0077230287313039,0.0260535909007843,-3.1114031354313,-2.66394457011914,1.5841324105249486,P.adj < 0.05 & log2FC < -1
hsa-let-7b-3p,-1.34424568859559,7.46439661777552,-2.74669547560676,0.0080091072051542,0.0266970240171808,-3.17120495628066,-2.65168563799564,1.5735371478095967,P.adj < 0.05 & log2FC < -1
hsa-miR-1296-5p,-1.41979578767911,8.13847531135715,-2.73843064339,0.0082001575426768,0.0270122836699942,-3.12035722051601,-2.6437153860309,1.5684386981764114,P.adj < 0.05 & log2FC < -1
hsa-miR-423-3p,1.21225912900331,8.48757047656968,2.72319336772662,0.0084110104052655,0.0273846850403996,-3.19744035274896,2.63510966295124,1.562492249659537,P.adj < 0.05 & log2FC > 1
hsa-miR-125b-2-3p,-1.1948082147198,6.62414977759895,-2.69647896548446,0.0089954621383805,0.0289509126292709,-3.31098523600272,-2.61222655303493,1.5383377413110122,P.adj < 0.05 & log2FC < -1
hsa-miR-151a-3p,-1.25526915381787,9.10133452049132,-2.69163038787898,0.0092394726631111,0.0293983221098991,-3.26363905041438,-2.60306391640275,1.531677455955416,P.adj < 0.05 & log2FC < -1
hsa-miR-335-5p,1.23179765712693,10.8344013168344,2.67494794108469,0.0094110058238273,0.0294668854725651,-3.21662618885981,2.59675122069187,1.5306657648477153,P.adj < 0.05 & log2FC > 1
hsa-miR-374a-5p,0.907505801364891,10.4929057890431,2.67690997886167,0.0094714989018959,0.0294668854725651,-3.2962919143839,2.59454944495855,1.5306657648477153,P.adj < 0.05
hsa-miR-29c-3p,0.92903682776196,13.4046111222463,2.68251611292098,0.0097013095191389,0.029850183135812,-3.18710364619859,2.58629771719666,1.5250530000579419,P.adj < 0.05
