,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-18b-5p,-2.23285349619366,7.51520740546111,-5.14359705810594,2.60264410615817e-06,6.02264751838255e-06,4.02524332401682,-4.69991922831848,5.220212553615232,P.adj < 0.05 & log2FC < -1
hsa-miR-5100,-1.98888944907106,7.56699638828659,-5.39773311451694,2.68026209975712e-06,6.15142121255732e-06,4.77265303500828,-4.69391440980911,5.211024534067746,P.adj < 0.05 & log2FC < -1
hsa-miR-330-3p,1.475374635313,10.4989418715614,5.02331179412762,4.10250261620185e-06,9.33903034582535e-06,3.60050014572232,4.60612073065714,5.029698213418564,P.adj < 0.05 & log2FC > 1
hsa-miR-598-3p,1.3491803869735,8.58727203386749,5.46615400105986,4.85911674880292e-06,1.09721991102001e-05,4.33255590776859,4.5707802252506,4.959706319944961,P.adj < 0.05 & log2FC > 1
hsa-miR-324-5p,1.33281278643079,9.27810262231699,5.62002839660361,4.9692709669033e-06,1.11311669658634e-05,4.7803069756647,4.56608088212107,4.953459302846973,P.adj < 0.05 & log2FC > 1
hsa-miR-193b-5p,1.81672943980875,7.13599224504456,5.15849406407097,5.0250689815349e-06,1.11668199589664e-05,4.03870036725756,4.5637383919371,4.952070485873001,P.adj < 0.05 & log2FC > 1
hsa-miR-195-5p,1.82830533573217,8.73744901345251,5.30321191559375,5.71931244273502e-06,1.26095077477622e-05,4.45488598422587,4.5365087249922,4.8993018671623165,P.adj < 0.05 & log2FC > 1
hsa-miR-331-3p,1.03680313088345,11.1090848899216,5.2439781790698,6.01436635554698e-06,1.3156426402759e-05,4.28378836257459,4.52588365322065,4.880862059378777,P.adj < 0.05 & log2FC > 1
hsa-miR-24-3p,-0.949242705401376,12.9964395287226,-5.25119282572437,6.13748683868467e-06,1.33216768591605e-05,4.06418853639351,-4.52159684596002,4.87544110513236,P.adj < 0.05
hsa-miR-484,-1.20574271088596,9.46507278850707,-4.84781961291234,7.90923028480662e-06,1.70352652288143e-05,2.90329936702429,-4.46762633510229,4.768651100340085,P.adj < 0.05 & log2FC < -1
